rec_no,vs1,vs2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8_1,vq8_2,vq8_3,vq8_4,vq8_5,vq8a,vq9,vq9a,vq10_1,vq10_2,vq10_3,vq10_4,vq10_5,vq10a,vq11,vq12_1,vq12_2,vq12_3,vq12_4,vq12_5,vq12_6,vq12_7,vq12a,vq13,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14a,vq15_1,vq15_2,vq15_3,vq15_4,vq15_5,vq15a,vq16,vq17,vq18_1,vq18_2,vq18_3,vq18_4,vq18_5,vq18_6,vq18_7,vq18_8,vq18a,vq19,vq20_1,vq20_2,vq20_3,vq20_4,vq20_5,vq20_6,vq20_7,vq20a,vq21,vq22_1,vq22_2,vq22_3,vq22_4,vq22_5,vq22a,vq23_1,vq23_2,vq23_3,vq23_4,vq23_5,vq23a,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24a,vq25_1,vq25_2,vq25_3,vq25_4,vq25_5,vq25_6,vq25_7,vq25_8,vq25a,vq26_1,vq26_2,vq26_3,vq26_4,vq26_5,vq26_6,vq26_7,vq26_8,vq26a,vq27,vq28,vq29,vq29a,vq30_1,vq30_2,vq30_3,vq30_4,vq30_5,vq30_6,vq30_7,vq30_8,vq30a,vq31_1,vq31_2,vq31_3,vq31_4,vq31_5,vq31_6,vq31_7,vq31_8,vq31a,vq32_1,vq32_2,vq32_3,vq32_4,vq32_5,vq32_6,vq32_7,vq32_8,vq32a,vq33_1,vq33_2,vq33_3,vq33_4,vq33_5,vq33_6,vq33_7,vq33_8,vq33a,vq34_1,vq34_2,vq34_3,vq34_4,vq34_5,vq34_6,vq34_7,vq34_8,vq34a,vq35_1,vq35_2,vq35_3,vq35_4,vq35_5,vq35_6,vq35_7,vq35_8,vq35a,vq36_1,vq36_2,vq36_3,vq36_4,vq36_5,vq36_6,vq36_7,vq36_8,vq36a,vq37_1,vq37_2,vq37_3,vq37_4,vq37_5,vq37_6,vq37_7,vq37_8,vq37a,vq38_1,vq38_2,vq38_3,vq38_4,vq38_5,vq38_6,vq38_7,vq38_8,vq38a,vq39_1,vq39_2,vq39_3,vq39_4,vq39_5,vq39_6,vq39_7,vq39_8,vq39a,vq40_1,vq40_2,vq40_3,vq40_4,vq40_5,vq40_6,vq40_7,vq40_8,vq41_1,vq41_2,vq41_3,vq41_4,vq41_5,vq41_6,vq41_7,vq41_8,vq41a,vq42,vq43_1,vq43_2,vq43_3,vq43_4,vq43_5,vq43_6,vq43_7,vq43_8,vq43a,vq44_1,vq44_2,vq44_3,vq44_4,vq44_5,vq44_6,vq44_7,vq44_8,vq44a,vq45_1,vq45_2,vq45_3,vq45_4,vq45_5,vq45_6,vq45_7,vq45_8,vq45a,vq46,vq47,vq48_1,vq48_2,vq48_3,vq48a,vq49,vq50,vq51,vq52,vq53,vq54,vq55,vq56,vq57_1,vq57_2,vq57_3,vq57_4,vq57_5,vq57a,vq58,vq59_1,vq59_2,vq59_3,vq59_4,vq59_5,vq59_6,vq59_7,vq59_8,vq60,vq60a,vq61,vq62,vq63,vq64,vq65,vq66,vq67,vq68,vq69,vq70_1,vq70_2,vq70_3,vq70_4,vq70_5,vq70_6,vq70_7,vq70_8,vq70a,vq71_1,vq71_2,vq71_3,vq71_4,vq71_5,vq71_6,vq71_7,vq71_8,vq72,vq73,vq74,vq75,vq76,vq77,vq78,vq78a,vq79,vq80,vq81,vq81a,vq82_1,vq82_2,vq82_3,vq82_4,vq82_5,vq82_6,vq82_7,vq82_8,vq82a,vq83,vq83a,vq84,vq85_1,vq85_2,vq85_3,vq85_4,vq85_5,vq85_6,vq85_7,vq85_8,vq85a,vq86_1,vq86_2,vq86_3,vq86_4,vq86_5,vq86_6,vq86_7,vq86_8,vq86a,vq87_1,vq87_2,vq87_3,vq87_4,vq87_5,vq87_6,vq87_7,vq87a,vq88,vq89,vq90,vq91,vq92,vq93_1,vq93_2,vq93_3,vq93_4,vq93_5,vq93_6,vq93_7,vq93_8,vq93a,vq94_1,vq94_2,vq94_3,vq94_4,vq94_5,vq94_6,vq94_7,vq94a,vq95,vq96,vq97,vq97a,vq98,vq98a,vq99,vq99a,vq100,vq100a,vq101,vq101a,vq102,vq102a,vs3,vs4,vs6,vs7,vs7a,vs8,vs9,vs10,vs11,vs12_1,vs12_2,vs12_3,vs12_4,vs12_5,vs12_6,vs12_7,vs12_8,vs12a,vs12b,vs12c,vs12d,vs12e,vs12f,vs12g,vs12h,vs12i,vs12j,vs12k,vs12l,vs12m,vs12n,vs12z,vs12za,varea,age,area,sex,marriage,edu,income,live,job,w3
2813,2,2,80,2,1,2,1,3,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, ,1, , , , , , , , ,1,95, , , , , , , ,2, , , , , , , , , , , , ,3,6,7,8, , , , , ,3,6,7, , , , , , ,3,6,7, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4,5, , , , , ,1,2,3,4,5, , , , , , , , , , , , , , , , , , , , , , ,8,9,10,11, , , , ,102,104,106,202,303,304, , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4,5, , , , , ,1, , , , , , , ,2,2, , ,1,1,1, ,1,1,1, ,1,4,5,6, , , , , ,1, ,1,5,6,14,15,17,19, , , ,4, , , , , , , , ,1, , , , , , , ,1,1,1,2,3,3,4,5,6,11, , , , ,1,4, , , , , , ,4,5,2, ,5, ,3, ,2, ,5, ,4, ,1,1,8,21, , ,5,98,4,1,4,5,6,9, , , ,6, , ,5,1,2, , ,5, , , , , , , ,1004,2,100,2,1,8, ,1,21,.628395246798986
2915,4,4,85,1,1,3,1,21,1,2, , , , , ,2, ,3, , , , , ,1,1,2,3, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8, , , , , ,2,6,7,8, , , , , ,2,6,7, , , , , , ,1,1, , ,7, , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , ,5, , , , , , , , ,5, , , , , , , , , , , , , , , , , ,19,20,21,22,23, , , ,101,302, , , , , , , ,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,1, , , , , , , ,5,3, , ,1,3,96, ,1,3,96, ,2,6,8, , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,1,1,3,5,8,12, , , , , ,1, , , , , , , ,5,5,4, ,3, ,2, ,4, ,1, ,2, ,1,2,7,21, , ,4,0,4,1,4,5,7, , , , ,4, , ,5,1, ,2, , , , , , , , , ,3005,1,300,1,1,7, ,2,21,1.24765292268779
836,2,2,50,1,1,2,1,15,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,96, , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7, , , , , , ,2,6,7, , , , , , ,2,6,7, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,23, , , , , , ,108,109,204,303,304,403, , , ,1,3,4,1, , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,7, , , , , ,8,3,1, , , , , ,1,1, , ,2, ,1, ,2, ,1, ,1,4,7,8, , , , , ,3, ,1,1,2,3,4,5,6, , , ,4,5,9, , , , , , ,1,4,5,6, , , , ,1,1,1,2,2,1,2,3,4,5,10,11,12, ,1,3,4,5,6, , , ,4,4,2, ,4, ,1, ,1, ,4, ,6, ,2,1,5,6, ,5,5,1,4,1,4,5,6,9, , , ,1, , ,5,1,2, , ,1, , , , , , , ,1001,5,100,1,2,5,5,1,6,.972312419126372
1814,6,6,37,1,1,1,1,15,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , ,96, , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,21, , , , , , ,102,103,104,106,303, , , , ,2, , , , , , , , , ,9,14, , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4, , , , , , , ,6,4,3, , , , , ,1,1, , ,2, ,96, ,2, ,96, ,96, , , , , , , , ,3, ,1,8,9,13,19, , , , , ,96, , , , , , , , ,1,2, , , , , , ,1,1,1,3,2,1,2,3,4,10,11, , , ,2, , , , , , , ,4,4,2, ,96, ,96, ,2, ,96, ,96, ,2,1,6,7, ,5,5,0,4,1,4,5,7,8, , , ,1, , ,5,1, ,1,1, , , , , , , , ,5002,6,500,1,2,6,5,1,7,1.83173843591813
1702,1,1,88,1,1,1,1,996,1,2, , , , , ,2, ,96, , , , , ,2, , , , , , , , ,96, , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8, , , , , ,2,6,7,8, , , , , ,2,6, , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , ,5, , , , , , , , ,5, , , , , , , , , , , , , , , , , ,96, , , , , , , ,101,302, , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,96, , , , , , , ,96,96, , ,2, ,96, ,2, ,96, ,96, , , , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,96,3,3,96,4,5, , , , , , , ,96, , , , , , , ,3,3,96, ,96, ,96, ,96, ,96, ,96, ,1,96,5,9, ,2,5,1,96,1,4,5,7,9,11, , ,1, , ,5,1, ,1, ,1, ,2, , , , , ,1003,1,100,1,1,5,2,96,9,1.03250152704923
5657,10,10,89,1,3,3,1,3,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4, , , , , , , , ,1,95, , , , , , , ,2, , , , , , , , , , , , ,3,6,7,8,9, , , , ,3, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , ,102, , , , , , , , ,3, , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,95, ,2, , , , , , ,1, , , , ,2, , , , , ,1,23, , , , , , , ,96, ,5,1,1,10,1,1,10,5,2,95, , , , , , , , ,1, , , , , , , ,3,3,3,3,1,1,2, ,2, ,2, ,1,5, , , , , , , ,1, ,1,10,18, , , , , , , ,15, , , , , , , , ,1, , , , , , , ,3,3,3,96,96,5,12, , , , , , , ,1, , , , , , , ,5,5,4, ,2, ,5, ,2, ,1, ,4, ,1,1,5,22, , ,5,2,2,1,4,5,7,8,9,11, ,1, , ,5,1, ,2,1,1, ,1, , , , , ,3004,1,300,1,1,5, ,1,22,1.4137983428106
5404,12,12,85,1,1,1,1,14,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,8,9, , , , , , ,6,8,9, , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , ,96, , , , , , , , ,19, , , , , , , ,102,302,304, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5, , , , , , , ,1, , , , , , , ,3,3, , ,1,96,1, ,1,96,1, ,1,2,5,6,7,8, , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,1,4,2,4,5,8,10, , , , ,1, , , , , , , ,5,5,1, ,4, ,5, ,6, ,96, ,96, ,1,1,7,21, , ,5,0,4,1,4,5,6,8,11, , ,1, , ,5,1,1, ,2, , ,1, , , , , ,4003,1,400,1,1,7, ,1,21,.751770555541878
5254,4,11,80,2,3,1,1,10,1,1,2,3, , , ,3, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , ,96, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,2,6,8, , , , , , ,2,6, , , , , , , ,6,8, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,9,14, , , , , ,103,109,306, , , , , , ,2, , , , , , , , , ,1,14,17, , , , , , ,8,5, , , , , , , ,1,2,1, , , , , , , ,5, , ,2,2, , , , , ,2,7, , , , , , , ,10, ,1,1,1,1,1,1,8,5,2,6, , , , , , , , ,8, , , , , , , ,2,2,2,3,2, ,96, ,2, ,1, ,1,4,5,6,8,10, , , ,3, ,1,13,18, , , , , , , ,15, , , , , , , , ,1, , , , , , , ,96,3,3,96,2,1,2,5,6,12, , , , ,1, , , , , , , ,5,5,2, ,1, ,3, ,2, ,1, ,3, ,1,2,7,19, ,5,5,2,4,1,4,5,6,8, , , ,1, , ,5,1,1, ,1, , , , , , , , ,3003,2,300,2,1,7,5,2,19,.249547571821988
1305,8,8,60,2,1,1,2, ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , ,6, , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,9,10,11, , , , ,101,106,108,201,203,302,601, , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,5,6,7, , , , ,95, , , , , , , ,2,5, , ,1,3,5, ,2, ,4, ,2,3,5,6,7,8,10, , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,3,1,2,4,5,6,7,8,10, ,1, , , , , , , ,96,5,2, ,6, ,5, ,6, ,4, ,2, ,2,1,7,13, ,5,5,0,98,1,4,5, , , , , ,1, , ,5,1, , , , , , , , , , , ,2003,4,200,2,2,7,5,1,13,.380408568555299
2416,6,6,69,2,1,2,1,4,1,2, , , , , ,2, ,90, , , , , ,1,1, , , , , , , ,2, , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,8,9, , , , , ,1,6,8,9, , , , , ,1,2,6,7,8,9, , , ,2, , , , , , , , , , , , ,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,5, , , , , , , , , , , , , , , ,4,5, , , , , , , ,4,5, , , , , , , ,21,22,23, , , , , ,101,301,302,402,504,505,506,603, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,3,1, , , , , , ,2,2, , ,2, ,2, ,2, ,2, ,1,3,7,8, , , , , ,1, ,1,1,2,3,4,5,6,8,9, ,1,13, , , , , , , ,1, , , , , , , ,1,1,1,1,1,1,2,3,4,5,6,7,8, ,1, , , , , , , ,4,4,1, ,2, ,3, ,2, ,3, ,1, ,2,1,7,18, ,7,5,2,4,1,4,5,8,9, , , ,1, , ,5,1, , ,1,1, , , , , , , ,5006,3,500,2,2,7,7,1,18,1.21818785334897
828,2,2,86,1,1,1,1,10,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8, , , , , ,2, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,24, , , , , , ,301,302,303,304,402, , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5, , , , , , , ,95, , , , , , , ,1,1, , ,2, ,96, ,2, ,96, ,4,6,7,8, , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2,2,6,7,8,10,12, , , , ,3, , , , , , , ,96,96,3, ,2, ,1, ,3, ,2, ,1, ,1,1,7,9, ,3,5,1,4,1,4,5,6,9, , , ,1, , ,5,1,1, , ,2, , , , , , , ,1009,1,100,1,1,7,3,1,9,.627831422115419
1816,6,6,70,2,3,1,1,18,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, ,96, , , , , , , , ,1,3, , , , , , , ,1,1, , , , , ,96, , , , , ,3, , , , , , , , ,3, , , , , , , , ,6,8,9, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,23, , , , , , ,102,103,202,302,306, , , , ,96, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,3,1, , , , , ,3,8, , , , , , , ,12, ,2,2,5,1,3,1,3,4,1,4, , , , , , , , ,2, , , , , , , ,5,5,1,5,1,96,1, ,1,96,1, ,96, , , , , , , , ,3, ,1,6,8,9,13, , , , , ,15, , , , , , , , ,1,3, , , , , , ,96,96,1,2,4,6,9,10,12, , , , , ,1,2,3, , , , , ,2,4,96, ,96, ,96, ,96, ,96, ,96, ,1,1,7,15, ,6,5,0,4,1,4,5,6,8, , , ,1, , ,5,1,1, ,1, , , , , , , , ,5002,3,500,2,1,7,6,1,15,1.21818785334897
1603,1,1,85,1,1,1,1,14,1,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,8,9, , , , , , ,95, , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23, , , , , , , ,101,102,103,202,204,301,302,304, ,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,3, , ,1,3,2, ,1,3,96, ,1,2,5,6,10, , , , ,1, ,1,4,6,7,8,18, , , , ,96, , , , , , , , ,1, , , , , , , ,3,3,3,2,2,1,4,6,7,8,12, , , ,1, , , , , , , ,5,5,3, ,2, ,4, ,2, ,96, ,96, ,1,1,7,21, , ,5,1,4,1,4,5,6,8, , , ,1, , ,5,1,1, ,1, , , , , , , , ,1003,1,100,1,1,7, ,1,21,1.03250152704923
1009,5,5,89,2,1,90, , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , ,95, , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , ,302,402, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,6, , , , , , , ,1,1, , ,2, ,96, ,2, ,96, ,1,6,8, , , , , , ,1, ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,96,96,96,5,5,2,4,11, , , , , , ,1, , , , , , , ,5,5,1, ,96, ,96, ,1, ,96, ,96, ,1,2,5,21, , ,5,0,4,1,4,5,9, , , , ,1, , ,5,1, , , ,2, , , , , , , ,4005,1,400,2,1,5, ,2,21,.738065441886018
2032,6,6,81,2,1,1,1,7,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, ,96, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,3,6,7, , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , ,101,102, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5, , , , , , ,95, , , , , , , ,3,3, , ,1,2,1, ,1,3,1, ,1,4,6,7,8, , , , ,3, ,1,2,3,4,5,7,8,13,18, ,4, , , , , , , , ,1, , , , , , , ,3,1,3,2,2,1,3,4,5,6,7,8,10, ,1, , , , , , , ,4,4,4, ,6, ,3, ,6, ,4, ,3, ,1,1,5,3, ,4,5,0,4,1,4,5,6,8,9, , ,1, , ,5,1,1, ,1,1, , , , , , , ,5001,2,500,2,1,5,4,1,3,.950271712608655
511,2,4,63,1,1,90, , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,6,7,8,9, , , ,4,6, , , , , , , ,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,5,7, , , , , , , , , , , , , , ,2,4,5,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22,23, , , ,101,102,103,203,306,601,602, , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7, , , , , , , ,1, , , , , , , ,2,3, , ,1,2,1, ,1,2,1, ,1,3,4,5,7,10, , , ,2, ,1,3,4,7,10,11,12,13,17, ,96, , , , , , , , ,1, , , , , , , ,3,3,1,1,1,4,5,7,11,12, , , , ,1, , , , , , , ,5,5,2, ,3, ,4, ,4, ,3, ,1, ,1,2,7,11, ,7,1, ,4,4,5,8,9,10,11, , , , , ,5,1, , ,2,5,1,1, , , , , ,1006,3,300,1,1,7,7,2,11,1.6380455818405
2826,2,2,45,2,1,2,1,1,1,2, , , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,8,9, , , , , ,9, , , , , , , , ,2,8,9, , , , , , ,1,96, , ,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , ,14, , , , , , , ,101,102,103,106,109,305, , , ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5, , , , , , , ,98, , , , , , , ,2,2, , ,2, ,96, ,2, ,3, ,1,4,6,7, , , , , ,1, ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,2,2,1,2,4,5,6,8, , , ,2, , , , , , , ,5,5,6, ,96, ,96, ,6, ,96, ,96, ,2,1,6,11, ,9,4,0,4,1,2,3,4,5,8,11, ,1,1,96,4,1, , ,1, , ,1, , , , , ,1004,5,100,2,2,6,8,1,11,.950232642825076
2022,6,6,60,1,3,1,1,21,1,1,2,4, , , ,1, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8, , , , , , , ,2, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,24, , , , , , ,101,102,103,106,107,202,301,302, ,2, , , , , , , , , ,8,1,4,14, , , , , ,4, , , , , , , , ,1, ,1,2, , , , , ,2, , , , ,1, , , , , ,2,1,24, , , , , , ,94,Kiss Radio,4,4,4,4,4,4,8,7,2,1,2,5, , , , , , ,95, , , , , , , ,3,3,3,3,1,1,1, ,1,1,1, ,4,7, , , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3,4,1,4,5,8, , , , , , ,3, , , , , , , ,3,3,4, ,5, ,6, ,1, ,2, ,3, ,1,2,5,14, ,4,4,0,4,1,2,3,4,5,6, , ,1,1,4,4,1,1, , , , , , , , , , ,5003,4,500,1,1,5,4,2,14,1.20572354027618
5412,12,12,47,2,3,1,1,10,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,22, , , , , , ,101,304, , , , , , , ,3, , , , , , , , , , , , , , , , , , ,5, , , , , , , , ,1,1,2, , , , , , , ,1, , , ,96, , , , , ,2,10,11,12, , , , , ,96, ,10,2,2,8,3,3,7,3,2,95, , , , , , , , ,1, , , , , , , ,5,3,3,3,1,96,1, ,2, ,96, ,2,4,6,8, , , , , ,3, ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,96,1,3,2,3,1,8,10, , , , , , ,1, , , , , , , ,4,4,4, ,3, ,2, ,3, ,4, ,2, ,2,1,4,18, ,4,4,0,4,1,2,3,4,5,6,9, ,2,1,1,4,1,1, , ,2, , , , , , , ,4003,5,400,2,2,4,4,1,18,1.13781645299574
