rec_no,vs1,vs2,vq1,vq2,vq3_1,vq3_2,vq3_3,vq3_4,vq3_5,vq3_6,vq3_7,vq3_8,vq3a,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4a,vq5,vq5a,vq6_1,vq6_2,vq6_3,vq6_4,vq6_5,vq6_6,vq6_7,vq6_8,vq6a,vq7,vq7a,vq8,vq9_1,vq9_2,vq9_3,vq9_4,vq9_5,vq9_6,vq9_7,vq9_8,vq9a,vq10,vq11,vq12_1,vq12_2,vq12_3,vq12_4,vq12_5,vq12_6,vq12_7,vq12a,vq13_1,vq13_2,vq13_3,vq13_4,vq13_5,vq13_6,vq13_7,vq13_8,vq13a,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq14_7,vq14_8,vq14a,vq15,vq16,vq16a,vq17_1,vq17_2,vq17_3,vq17_4,vq17_5,vq17a,vq18_1,vq18_2,vq18_3,vq18_4,vq18_5,vq18_6,vq18_7,vq18_8,vq19,vq20,vq21,vq22,vq22a,vq23,vq23a,vq24,vq24a,vq25,vq25a,vq26_1,vq26_2,vq27,vq28,vq29,vq30_1,vq30_2,vq30_3,vq30_4,vq30_5,vq30_6,vq30a,vq31,vq31a,vq32,vq32a,vq33,vq33a,vq34,vq34a,vq35,vq35a,vq36,vq36a,vq37,vq38_1,vq38_2,vq38_3,vq38_4,vq38_5,vq38_6,vq38_7,vq38_8,vq38a,vq39_1,vq39_2,vq39_3,vq39_4,vq39_5,vq39_6,vq39_7,vq39_8,vq39a,vq40,vq40a,vq41_1,vq41_2,vq41_3,vq41_4,vq41_5,vq41a,vq42,vq42a,vq43_1,vq43_2,vq43_3,vq43_4,vq43_5,vq43_6,vq43a,vq44_1,vq44_2,vq44_3,vq44_4,vq44_5,vq44_6,vq44a,vq45_1,vq45_2,vq45_3,vq45_4,vq45a,vq46_1,vq46_2,vq46_3,vq46_4,vq46a,vq47_1,vq47_2,vq47_3,vq47_4,vq47a,vq48_1,vq48_2,vq48_3,vq48a,vq49,vq50,vq51_1,vq51_2,vq51_3,vq51_4,vq51_5,vq51_6,vq51_7,vq51_8,vq51a,vq52_1,vq52_2,vq52_3,vq52_4,vq52_5,vq52_6,vq52_7,vq52_8,vq52a,vq53,vq54_1,vq54_2,vq54_3,vq54_4,vq54_5,vq54_6,vq54_7,vq54_8,vq54a,vq55_1,vq55_2,vq55_3,vq55_4,vq55_5,vq55_6,vq55_7,vq55_8,vq55a,vq56,vq57,vq57a,vq58,vq58a,vq59,vq60_1,vq60_2,vq60_3,vq60_4,vq60_5,vq60_6,vq60_7,vq60_8,vq61,vq61a,vq62,vq62a,vq63,vq63a,vq64,vq64a,vq65,vq66,vq67,vq68,vq69,vq70,vq71,vq72,vq73,vq74,vq75,vq76,vq77,vq78,vq79,vq80,vq81,vq82,vq83,vq84,vq85,vq86,vq87,vq88,vq89,vq90,vs3,vs4,vs6,vs7,vs7a,vs8,vs9,vs10,vs11,vs12_1,vs12_2,vs12_3,vs12_4,vs12_5,vs12_6,vs12_7,vs12_8,vs12a,vs12b,vs12c,vs12d,vs12e,vs12f,vs12g,vs12h,vs12i,vs12j,vs12k,vs12l,vs12m,vs12n,vs12z,vs12za,varea,age,area,sex,marriage,edu,income,live,job,w3
1005,5,5,87,2,1,4,3,6, , , , , ,3,4,6, , , , , , ,6, ,6, , , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,6,10,2, , , ,6,4,4,1, ,1, ,9995, ,1, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,1,2,5, , , , , , , ,1,3,8, , , , , , ,3, ,1, , , , , ,2, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,25,5,10,6, , , , , ,5,10, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,3,6,8,10,12, , , ,8, ,96, ,96, ,96, ,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,21, , ,5,1,4,3,1,8,9,4, , , ,1, ,1,6, , , ,1,1, , , , , , , ,4005,1,400,2,1,7, ,2,21,.808050681494564
3369,11,11,59,1,6,1,3, , , , , , ,1,6, , , , , , , ,1, ,1,6, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,13,6, , , , , ,6,6,6,1, ,1, ,901, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,1,1,8, , , , , , , ,1,2, , , , , , , ,1, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,90, , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,8, , , , , , ,1, ,1, ,3, ,4, ,2,96,2,2,2,2,2,2,2,3,3,2,96,3,96,96,96,96,96,96,3,96,3,96,3,96,2,1,4,19, ,98,5,0,4,8,1,6,4, , , , ,1, , ,6, ,1, ,1, , , , , , , , ,3006,4,300,1,2,4,96,1,19,.326297711264689
5098,4,4,47,1,6,4,2,3, , , , , ,2,3,6, , , , , , ,6, ,3, , , , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , ,6,6,6,1, ,1, ,801, ,1, ,1, ,1,998, ,1, , , , , , ,1, ,5, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,96, ,96, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3, , , , , , ,3, ,96, ,96, ,96, ,96,96,96,96,96,96,96,96,96,2,2,3,3,2,2,2,3,2,96,96,96,96,2,2,96,96,2,1,6,22, , ,5,0,4,8,1,2,4, , , , ,3,2, ,5, , , ,1, , , , , , , , ,3001,5,300,1,2,6, ,1,22,1.61857985283304
306,7,7,69,2,1,6, , , , , , , ,1,6, , , , , , , ,6, ,1,6, , , , , , , ,1, ,1,6, , , , , , , , ,7,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,27,2,26,3,1,6,5,7,1,1,1,1, ,2, ,1801, ,1, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,1,2,3,5,11, , , , , ,1,3, , , , , , , ,1, ,1,90, , , , ,96, ,94, , , , , ,傳統收音機,94, , , , , ,傳統收音機,90, , , , , , , , , , , , , , ,1, , , ,1,1,17, , , , , , , , ,17, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,8, , , , , , ,1, ,1, ,8, ,96, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,7, ,4,5,3,4,4,1,2,5, , , , ,1,2, ,5,2, , , , , , , , , , , ,1011,3,600,2,2,5,4,1,7,.448890394717808
3018,17,17,76,2,6,1,5,4,3, , , , ,1,3,4,5,6, , , , ,6, ,6,4, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,20,2,4,25,7,6, ,1,1,6,1, ,1, ,2101, ,4, ,3, , , , ,1,2,4, , , , ,1, ,5, , , , , , , , , ,1,1,2,3,5,6,10,11, , ,2,3,4,5, , , , , ,2, ,1,4, , , , ,2, ,3, , , , , , ,3, , , , , , ,90, , , , , , , , , ,1, , , , ,1, , , ,1,1,2,20,24,27,11,5,4, , ,5, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,8,10,11,12, , , , ,8, ,1, ,8, ,7, ,1,2,2,2,2,2,2,2,3,1,2,3,3,2,2,2,2,2,3,3,3,3,2,3,3,3,2,2,7,16, ,7,5,2,2,5,1,9,2,8,4, , ,2,1, ,5,2, , ,1,1, , , , , , , ,5005,2,500,2,2,7,7,2,16,.179186449946655
178,1,1,61,2,3,6,2,7,5,1, , , ,1,3,5,6, , , , , ,6, ,1,6, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,1,4, , , , , , , ,1,4, , , , , , , , , , , , , , , , ,1,6,25,8,4,7,13,2,5,1,5,1, ,1, ,307, ,2, ,3, , , , ,1,2,3, , , , ,1, ,4, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,2, ,1, , , , , ,1, ,3, , , , , , ,3, , , , , , ,1,2, , , ,90, , , , ,1, , , , ,1, , , ,1,1,4,10,2,1,11,3,26, , ,26, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,2,6,7,8, , , ,1, ,1, ,8, ,2, ,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,19, ,98,5,1,4,5,1,2,8,6,4,7, ,1,1, ,5,1,1,1,1, , , , , , , , ,1005,4,100,2,2,5,96,2,19,1.5113802303796
721,3,3,78,2,3,1,6, , , , , , ,1,3,6, , , , , , ,6, ,6,1,3, , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7,1,5,6,8,13,2,5,3,5,1, ,1, ,402, ,2, ,3, , , , ,1,3, , , , , ,1, ,2, , , , , , , , , ,1,2,11, , , , , , , ,1,2,3, , , , , , ,1, ,90, , , , , ,3, ,2,3,4, , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,1,27,6,4,24,7,25,18, ,1,4,6,7,18,24,25,27, ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,6,8,10,11, , , ,1, ,1, ,3, ,6, ,2,1,2,2,1,2,2,2,1,4,4,2,3,2,2,2,1,2,2,1,2,2,4,4,2,2,1,1,7,11, ,5,5,0,4,6,1,8,4, , , , ,3, , ,5, ,3, ,3, , , , , , , , ,2004,2,200,2,1,7,5,1,11,1.03994200635469
841,2,2,83,2,4,1,6, , , , , , ,1,4,6, , , , , , ,6, ,1, , , , , , , , ,1, ,1,9,3, , , , , , , ,996,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,6,2,1,13,11,3,8,10,4,2,5,1, ,10, ,210, ,2, ,2, ,1, ,999996,1,4, , , , , ,1, ,5, , , , , , , , , ,1,1,2,6, , , , , , ,1,2,3, , , , , , ,1, ,90, , , , , ,1, ,3,4, , , , , ,90, , , , , , ,1,2, , , ,90, , , , , , , , , ,1, , , ,1,1,26,18,3,1,2, , , , ,1,2,3,18,26, , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,4,6,8,13, , ,1, ,1, ,6, ,8, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96,2,2,2,2,2,2,2,2,2,2,2,1,1,7,21, , ,5,0,4,4,1,9,6, , , , ,2, , ,5, ,1, , ,1, , , , , , , ,1001,1,100,2,1,7, ,1,21,.688233098657626
5609,11,11,82,1,2,5,1,4,6, , , , ,1,2,6, , , , , , ,6, ,6,1,2, , , , , , ,6, ,1,96, , , , , , , , ,996,2, , , , , , , , ,1,4, , , , , , , ,1,4, , , , , , , , , , , , , , , , ,26,8,6,2,7,1,13,16,6,1,6,1, ,90, ,901, ,2, ,3, , , , ,1, , , , , , ,1, ,4, , , , , , , , , ,1,2, , , , , , , , ,96, , , , , , , , ,3, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,1, , , , , , , , ,1, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, ,96, ,96, ,96, ,96,96,96,96,96,96,96,96,96,96,4,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,2,1,4,9, ,4,5,2,4,5,1,9,7,6,4, , ,2, , ,5,1,2,1, ,1, , , , , , , ,3007,1,300,1,2,4,4,1,9,.241836191436105
815,1,1,51,2,6,1,4, , , , , , ,1,4,6, , , , , , ,6, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,1,13,3,6, , ,5,2,3,1, ,7, ,310, ,3, ,3, , , , ,1,4, , , , , ,1, ,3, , , , , , , , , ,1,5,6, , , , , , , ,2,3,8, , , , , , ,2, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,2,2,11,1, , , , , , ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,3,6, , , , , ,1, ,1, ,3, ,4, ,1,3,1,1,2,2,2,2,2,1,1,2,2,1,96,2,2,2,2,2,2,2,2,2,2,2,2,1,6,19, ,98,5,0,4,4,1,9,6, , , , ,2, , ,5, ,1, , ,2, , , , , , , ,1009,5,100,2,2,6,96,1,19,1.63230595202217
2827,4,4,51,2,6,3,1, , , , , , ,1,6, , , , , , , ,6, ,6, , , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,1,7,13, , , , , ,2,2,5,1, ,3, ,9996, ,3, ,3, , , , ,1, , , , , , ,1, ,4, , , , , , , , , ,1,9, , , , , , , , ,3, , , , , , , , ,3, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,1, , , , , , , , ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , ,1, ,1, ,3, ,8, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,1,5,19, ,98,5,0,2,8,1,4,6, , , , ,2, , ,5, ,1, ,2, , , , , , , , ,1004,5,300,2,2,5,96,1,19,1.77022474983723
